coin,strategy,n_trades,hit_rate,sharpe,max_dd,longest_win,longest_loss,final_equity
ADA,long_only,664,0.5286144578313253,0.788954511495174,-0.10359485655152541,5,5,13780.84050927609
ADA,long_only_vol2,1,1.0,0.42465982666064206,0.0,1,0,10102.055718071066
ADA,long_short,2024,0.5158102766798419,0.20130652301249288,-0.2832431366942309,12,9,11042.551420058277
ADA,long_short_vol2,1,1.0,0.42465982666064206,0.0,1,0,10102.055718071066
BNB,long_only,1034,0.5425531914893617,0.9583717378099046,-0.11253288918295581,5,7,15903.376639021148
BNB,long_only_vol2,0,0.0,0.0,0.0,0,0,10000.0
BNB,long_short,2081,0.513695338779433,0.21734664169744597,-0.2655790046047242,10,8,11196.526689624257
BNB,long_short_vol2,0,0.0,0.0,0.0,0,0,10000.0
BTC,long_only,1154,0.5320623916811091,1.188984899270699,-0.1463839281100241,8,8,19388.086024947635
BTC,long_only_vol2,1,1.0,0.42859539319965617,0.0,1,0,10024.255312012378
BTC,long_short,1987,0.5228988424760946,0.7349578981527096,-0.2001986280805502,8,10,16462.176536362975
BTC,long_short_vol2,1,1.0,0.42859539319965617,0.0,1,0,10024.255312012378
DOGE,long_only,514,0.5214007782101168,0.7067101679812849,-0.11160933601945977,3,6,17117.55914645156
DOGE,long_only_vol2,0,0.0,0.0,0.0,0,0,10000.0
DOGE,long_short,1641,0.5198049969530774,0.3926195166867754,-0.24905023474609267,8,8,13369.791868087947
DOGE,long_short_vol2,3,1.0,0.6741131155568758,0.0,1,0,10050.816203472972
ETH,long_only,982,0.5234215885947047,0.7630179380138972,-0.1700448745333098,6,8,14843.868351275902
ETH,long_only_vol2,0,0.0,0.0,0.0,0,0,10000.0
ETH,long_short,2081,0.4997597308986064,-0.1486759932951976,-0.3369533513461219,10,11,8445.35562720496
ETH,long_short_vol2,0,0.0,0.0,0.0,0,0,10000.0
SOL,long_only,648,0.5185185185185185,0.9430400282475043,-0.18956232507356724,5,6,13448.7490426178
SOL,long_only_vol2,0,0.0,0.0,0.0,0,0,10000.0
SOL,long_short,1389,0.5226781857451404,0.7937693350158114,-0.1771942644874593,10,14,14157.853497250986
SOL,long_short_vol2,0,0.0,0.0,0.0,0,0,10000.0
XRP,long_only,526,0.5703422053231939,0.21064982488180894,-0.12295532555838681,3,6,10684.616539061935
XRP,long_only_vol2,0,0.0,0.0,0.0,0,0,10000.0
XRP,long_short,1991,0.5238573581115018,-0.6205781830546548,-0.4875123108120578,9,10,5298.0089871949995
XRP,long_short_vol2,2,0.0,-0.5335678264695236,-0.0039295593431928864,0,1,9960.704406568071
